filename;right_answer;possible_wrong_answers;number;variant;version;Langhout AoC_category;AoC_category
57-obf-v2.png;21;"20;22";57;obf;v2;omitted_curly_braces;scopeindentation
60-clean-v0.png;32;"256;288";60;clean;v0;type_conversion;implementationdetails
60-clean-v1.png;0;"2;512";60;clean;v1;type_conversion;implementationdetails
60-clean-v2.png;40;"255;296";60;clean;v2;type_conversion;implementationdetails
60-obf-v0.png;32;"256;288";60;obf;v0;type_conversion;implementationdetails
60-obf-v1.png;0;"2;512";60;obf;v1;type_conversion;implementationdetails
60-obf-v2.png;40;"255;296";60;obf;v2;type_conversion;implementationdetails
61-clean-v0.png;4;"2;0";61;clean;v0;indentation;scopeindentation
61-clean-v1.png;256;"128;42";61;clean;v1;indentation;scopeindentation
61-clean-v2.png;66;"6;60";61;clean;v2;indentation;scopeindentation
61-obf-v0.png;4;"2;0";61;obf;v0;indentation;scopeindentation
61-obf-v1.png;256;"128;42";61;obf;v1;indentation;scopeindentation
61-obf-v2.png;66;"6;60";61;obf;v2;indentation;scopeindentation
62-clean-v0.png;3;"6;1";62;clean;v0;indentation;scopeindentation
62-clean-v1.png;60;"30;84";62;clean;v1;indentation;scopeindentation
62-clean-v2.png;50;"500;100";62;clean;v2;indentation;scopeindentation
62-obf-v0.png;3;"6;1";62;obf;v0;indentation;scopeindentation
62-obf-v1.png;60;"30;84";62;obf;v1;indentation;scopeindentation
62-obf-v2.png;50;"500;100";62;obf;v2;indentation;scopeindentation
63-clean-v0.png;9;"7;5";63;clean;v0;indentation;scopeindentation
63-clean-v1.png;5;"10;12";63;clean;v1;indentation;scopeindentation
63-clean-v2.png;80;"50;40";63;clean;v2;indentation;scopeindentation
63-obf-v0.png;9;"7;5";63;obf;v0;indentation;scopeindentation
63-obf-v1.png;5;"10;12";63;obf;v1;indentation;scopeindentation
63-obf-v2.png;80;"50;40";63;obf;v2;indentation;scopeindentation
-clean-v0.png;true;false;;clean;v0;implicit predicate;confusingboolwitharith
-clean-v1.png;false;true;;clean;v1;implicit predicate;confusingboolwitharith
-clean-v2.png;false;true;;clean;v2;implicit predicate;confusingboolwitharith
-obf-v0.png;true;false;;obf;v0;implicit predicate;confusingboolwitharith
-obf-v1.png;false;true;;obf;v1;implicit predicate;confusingboolwitharith
-obf-v2.png;false;true;;obf;v2;implicit predicate;confusingboolwitharith
